24	-301.5487787294411 -301.549406395129 -301.55003430755414 -301.55066246680707 -301.5487787294411 -301.549406395129 -301.55003430755414 -301.55066246680707 -301.54564409889576 -301.5487787294411 -301.54564409889576 -301.5487787294411 -301.03316912258157 -301.5308932319834 -301.03316912258157 -301.5308932319834
25	-300.5196743675073 -300.52015433068186 -300.520634485506 -300.5211148320523 -300.5196743675073 -300.52015433068186 -300.520634485506 -300.5211148320523 -300.5172774238367 -300.5196743675073 -300.5172774238367 -300.5196743675073 -300.0814394997645 -301.33239299195947 -300.0814394997645 -301.33239299195947
26	-303.8838596013562 -303.8845723741391 -303.8852854245698 -303.8859987527481 -303.8838596013562 -303.8845723741391 -303.8852854245698 -303.8859987527481 -303.8802998986664 -303.8838596013562 -303.8802998986664 -303.8838596013562 -303.3661302258756 -303.90837277496274 -303.3661302258756 -303.90837277496274
27	-300.7399291984619 -300.74004960568925 -300.7401700628119 -300.74029056985023 -300.7399291984619 -300.74004960568925 -300.7401700628119 -300.74029056985023 -300.7393279100399 -300.7399291984619 -300.7393279100399 -300.7399291984619 -300.23706957031345 -300.3918329780231 -300.23706957031345 -300.3918329780231
28	-300.58414554741955 -300.5841458910592 -300.58414623484305 -300.584146578771 -300.58414554741955 -300.5841458910592 -300.58414623484305 -300.584146578771 -300.58414383138114 -300.58414554741955 -300.58414383138114 -300.58414554741955 -300.12735572925493 -300.7522580397381 -300.12735572925493 -300.7522580397381
29	-300.21675635493057 -300.216792251665 -300.21682816340194 -300.21686409014757 -300.21675635493057 -300.216792251665 -300.21682816340194 -300.21686409014757 -300.2165770960767 -300.21675635493057 -300.2165770960767 -300.21675635493057 -299.72155922013894 -299.922165261814 -299.72155922013894 -299.922165261814
30	-298.49858757345027 -298.4987232922488 -298.49885906720044 -298.49899489832796 -298.49858757345027 -298.4987232922488 -298.49885906720044 -298.49899489832796 -298.4979098209512 -298.49858757345027 -298.4979098209512 -298.49858757345027 -297.9952127871262 -298.157614918457 -297.9952127871262 -298.157614918457
31	-303.3040959004615 -303.3138427799528 -303.3235897628833 -303.3333368492118 -303.3040959004615 -303.3138427799528 -303.3235897628833 -303.3333368492118 -303.25536305603697 -303.3040959004615 -303.25536305603697 -303.3040959004615 -302.56045767899604 -302.82458893827885 -302.56045767899604 -302.82458893827885
32	-307.72983085096104 -307.739148555293 -307.74846652617686 -307.75778476351627 -307.72983085096104 -307.739148555293 -307.74846652617686 -307.75778476351627 -307.6832463309608 -307.72983085096104 -307.6832463309608 -307.72983085096104 -306.99697515495126 -307.53061989680793 -306.99697515495126 -307.53061989680793
33	-298.3759159527602 -298.38441064757177 -298.39290587853503 -298.4014016454929 -298.3759159527602 -298.38441064757177 -298.39290587853503 -298.4014016454929 -298.33345052647945 -298.3759159527602 -298.33345052647945 -298.3759159527602 -297.66372348849535 -298.540303774552 -297.66372348849535 -298.540303774552
34	-299.0744906348252 -299.0830957844507 -299.0917014373442 -299.10030759335376 -299.0744906348252 -299.0830957844507 -299.0917014373442 -299.10030759335376 -299.03147244104656 -299.0744906348252 -299.03147244104656 -299.0744906348252 -298.3595259019136 -299.1983215438113 -298.3595259019136 -299.1983215438113
35	-302.4272823443902 -302.4357507358725 -302.4442196711865 -302.452689150174 -302.4272823443902 -302.4357507358725 -302.4442196711865 -302.452689150174 -302.38494854999277 -302.4272823443902 -302.38494854999277 -302.4272823443902 -301.71574976580507 -302.6010034820523 -301.71574976580507 -302.6010034820523
